ano,mes,dia,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2019,JANEIRO,DOM,PEDREIRA,BELEM,VIA PUBLICA,"-1,4324048","-48,4781301",23:30:00
2019,JANEIRO,SAB,SACRAMENTA,BELEM,VIA PUBLICA,"-1,4132476","-48,4743087",03:00:00
2019,AGOSTO,DOM,MARCO,BELEM,VIA PUBLICA,"-1,437645","-48,4577148",05:30:00
2019,OUTUBRO,TER,COQUEIRO BELEM,BELEM,HOSPITAL,"-1,3625914","-48,4260999",08:05:00
2019,DEZEMBRO,SEG,PRATINHA,ICOARACI,VIA PUBLICA,"-1,3662995","-48,4769942",01:15:00
2019,DEZEMBRO,SAB,MANGUEIRAO,BELEM,VIA PUBLICA,"-1,3785112","-48,4452235",04:33:00
2019,SETEMBRO,SAB,PARQUE GUAJARA,ICOARACI,VIA PUBLICA,"-1,321894","-48,4504714",05:10:00
2019,NOVEMBRO,DOM,BARREIRO,BELEM,VIA PUBLICA,"-1,4160488","-48,4932755",07:00:00
2019,NOVEMBRO,SAB,PRATINHA,ICOARACI,VIA PUBLICA,"-1,3605874","-48,4737293",23:30:00
2019,MAIO,QUA,SACRAMENTA,BELEM,VIA PUBLICA,"-1,4127793","-48,4787877",23:50:00
2019,NOVEMBRO,SEX,MARACANGALHA,BELEM,VIA PUBLICA,"-1,3993766","-48,4738045",17:30:00
2019,ABRIL,SEX,TAPANA,ICOARACI,VIA PUBLICA,"-1,3454804","-48,4701577",10:00:00
2019,OUTUBRO,QUI,CAMPINA,BELEM,VIA PUBLICA,"-1,4498308","-48,5005344",22:15:00
2019,FEVEREIRO,SEX,ARIRAMBA,MOSQUEIRO,VIA PUBLICA,"-1,334416","-48,4397741",21:40:00
2019,DEZEMBRO,SEG,CURIO-UTINGA,BELEM,VIA PUBLICA,"-1,42873","-48,4504152",04:00:00
2019,DEZEMBRO,SAB,CAMPINA,BELEM,HOSPITAL,"-1,4492166","-48,4965117",06:00:00
2019,OUTUBRO,SEG,CRUZEIRO,ICOARACI,VIA PUBLICA,"-1,2987713","-48,4720526",03:20:00
2019,DEZEMBRO,SAB,TELEGRAFO SEM FIO,BELEM,VIA PUBLICA,"-1,4229929","-48,4876118",19:30:00
